Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3421160,4/9/2013,1:46 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 W,,,Local police
3424926,4/18/2013,12:39 PM,WORCESTER,Non-fatal injury,ROSE STREET / GREENWOOD STREET,,,Local police
3425397,4/23/2013,7:04 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3426241,4/12/2013,2:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3428403,4/22/2013,12:25 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GRANITE STREET,,,Local police
3532762,5/11/2013,2:05 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3536940,4/15/2013,12:01 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3540766,5/30/2013,4:40 PM,WORCESTER,Property damage only (none injured),MILLBURY STREET,,1189 P AND P MOTORS,Local police
3556989,7/26/2013,5:20 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3560554,6/24/2013,12:00 PM,WORCESTER,Property damage only (none injured),Rte 20 E / GREENWOOD STREET,,,Local police
3561891,6/15/2013,1:24 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3562012,6/14/2013,2:09 AM,WORCESTER,Unknown,SOUTHWEST CUTOFF,,,Local police
3562015,6/14/2013,1:40 AM,WORCESTER,Non-fatal injury,MASSASOIT ROAD,,,Local police
3589753,6/7/2013,2:15 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3590237,7/24/2013,1:55 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3591144,7/10/2013,3:55 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF Rte 20,MASSASOIT ROAD Rte 20,,Local police
3591462,7/6/2013,10:16 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,GRANITE STREET,,Local police
3594085,7/16/2013,8:27 AM,WORCESTER,Property damage only (none injured),ESKOW ROAD / SOUTHWEST CUTOFF,,,Local police
3595649,7/26/2013,4:44 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3595679,7/16/2013,1:00 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SOUTHWEST CUTOFF,,,Local police
3595695,7/15/2013,5:49 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF Rte 20 E / MASSASOIT ROAD,,,Local police
3599645,7/3/2013,2:04 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3601038,5/12/2013,5:50 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET / SOUTHOLD ROAD,,,Local police
3604894,8/8/2013,6:15 AM,WORCESTER,Property damage only (none injured),PURPLE HEART HIGHWAY Rte 146 N / RAMP - RT 146 NB TO MILLBURY STREET,,,Local police
3605612,8/30/2013,8:30 AM,WORCESTER,Non-fatal injury,PINROCK ROAD / SOUTHWEST CUTOFF Rte 20,,,Local police
3605739,8/28/2013,1:00 PM,WORCESTER,Not Reported,MILLBURY STREET / WINNIPEG STREET,,,Local police
